ticker,company_name,sector,market_cap,pe_ratio,net_profit_ltm,next_earning_date,isin
AAG,AAGES S.A.,,,,,,ROAAGEACNOR7
ALR,ALRO S.A.,,,,,,ROALROACNOR0
ALT,ALTUR S.A.,,,,,,ROALTCACNOR1
ALU,ALUMIL ROM INDUSTRY S.A.,,,,,,ROALUMACNOR8
AQ,AQUILA PART PROD COM,,,,,,RO7066ZEA1R9
ARM,ARMATURA S.A.,,,,,,ROARMAACNOR7
AROBS,AROBS TRANSILVANIA SOFTWARE,,,,,,ROWMR49B0RG5
ARS,AEROSTAR S.A.,,,,,,ROAEROACNOR5
ARTE,ARTEGO SA,,,,,,ROARTEACNOR4
ATB,ANTIBIOTICE S.A.,,,,,,ROATBIACNOR9
BCM,CASA DE BUCOVINA-CLUB DE MUNTE,,,,,,ROBUCMACNOR5
BIO,BIOFARM S.A.,,,,,,ROBIOFACNOR9
BNET,BITTNET SYSTEMS SA BUCURESTI,,,,,,ROBNETACNOR1
BRD,BRD - GROUPE SOCIETE GENERALE S.A.,,,,,,ROBRDBACNOR2
BRK,SSIF BRK FINANCIAL GROUP SA,,,,,,ROBRKOACNOR0
BRM,BERMAS S.A.,,,,,,ROBEMAACNOR3
BVB,BURSA DE VALORI BUCURESTI SA,,,,,,ROBVBAACNOR0
CAOR,SIF HOTELURI SA,,,,,,ROCAORACNOR9
CBC,CARBOCHIM S.A.,,,,,,ROCBCHACNOR3
CMCM,COMCM SA CONSTANTA,,,,,,ROCMCMACNOR0
CMF,COMELF S.A.,,,,,,ROCMBFACNOR6
CMP,COMPA S. A.,,,,,,ROCMPSACNOR9
CNTE,CONTED SA,,,,,,ROCNTEACNOR9
COMI,CONDMAG S.A.,,,,,,ROCOMIACNOR3
COTE,CONPET SA,,,,,,ROCOTEACNOR7
CRC,CHIMCOMPLEX S.A. BORZESTI,,,,,,ROCHOBACNOR8
DIGI,,,,,,,
EBS,,,,,,,
ECT,GRUPUL INDUSTRIAL ELECTROCONTACT S.A.,,,,,,ROELBOACNOR6
