Date,Event name,Period
Submitted by INS on 05/08/2025,Turnover in retail trade,March 2025
Submitted by INS on 05/08/2025,Tourism,March 2025
Submitted by INS on 05/09/2025,Slaughtering of animals and poultry and meat production,March 2025
Submitted by INS on 05/12/2025,Vital statistics,March 2025
Submitted by INS on 05/12/2025,Romania's foreign trade (estimated data),March 2025
Submitted by INS on 05/13/2025,Consumer price index (CPI),aprilie 2025
Submitted by INS on 05/14/2025,Industrial production indices (IPI),March 2025
Submitted by INS on 05/15/2025,Monthly average earning,March 2025
Submitted by INS on 05/15/2025,Energy resources (provisional data),"January 1 - March 31, 2025"
Submitted by INS on 05/15/2025,GDP evolution in the First quarter 2025 (estimated data) (flash),First quarter 2025
Submitted by INS on 05/15/2025,"Livestock existent on December 1, 2024","December 1, 2024"
Submitted by INS on 05/20/2025,Construction works,March 2025
Submitted by INS on 05/20/2025,Job vacancies,First quarter 2025
Submitted by INS on 05/21/2025,"Account of material flows economy - environment, in 2023",Year 2023
Submitted by INS on 05/22/2025,Turnover index in industry,March 2025
Submitted by INS on 05/22/2025,Value indices of industrial new orders,March 2025
Submitted by INS on 05/23/2025,Turnover in trade and services provided to the population,March 2025
Submitted by INS on 05/23/2025,The turnover of the trade with motor vehicles and motorcycles,March 2025
Submitted by INS on 05/26/2025,Turnover of market services rendered mainly to enterprises,March 2025
Submitted by INS on 05/26/2025,Wholesale turnover,March 2025
Submitted by INS on 05/28/2025,Trends in the evolution of economic activity,May - July 2025
Submitted by INS on 05/30/2025,Forestry activity in 2024,Year 2024
Submitted by INS on 05/30/2025,Construction permits released for buildings,April 2025
Submitted by INS on 06/03/2025,ILO Unemployment,April 2025
Submitted by INS on 06/03/2025,Industrial production prices index (IPPI),April 2025
Submitted by INS on 06/04/2025,Quarterly labour costs index,First quarter 2025
Submitted by INS on 06/04/2025,Tourism,April 2025
Submitted by INS on 06/06/2025,Gross domestic product in the First quarter 2025 (provisional data) (1),First quarter 2025
Submitted by INS on 06/06/2025,Turnover in retail trade,April 2025
Submitted by INS on 06/10/2025,Household income and expenditure in year 2024,Year 2024
Submitted by INS on 06/10/2025,Slaughtering of animals and poultry and meat production,April 2025
Submitted by INS on 06/10/2025,Vital statistics,April 2025
Submitted by INS on 06/10/2025,Romania's foreign trade (estimated data),April 2025
Submitted by INS on 06/12/2025,Net investments in the national economy (provisional data),First quarter 2025
Submitted by INS on 06/12/2025,Consumer price index (CPI),mai 2025
Submitted by INS on 06/12/2025,Construction of dwellings (provisional data),First quarter 2025
Submitted by INS on 06/13/2025,Monthly average earning,April 2025
Submitted by INS on 06/13/2025,Industrial production indices (IPI),April 2025
Submitted by INS on 06/13/2025,Employment and unemployment,First quarter 2025
Submitted by INS on 06/13/2025,Energy resources (provisional data),"January 1 - April 30, 2025"
Submitted by INS on 06/13/2025,Average number of pensioners and average monthly pension in First quarter 2025,First quarter 2025
Submitted by INS on 06/19/2025,Value indices of industrial new orders,April 2025
Submitted by INS on 06/19/2025,Construction works,April 2025
Submitted by INS on 06/19/2025,Turnover index in industry,April 2025
Submitted by INS on 06/20/2025,Educational system at the end of the school/academic year 2023-2024 and the beginning of the school/academic year 2024-2025,the end of the school/academic year 2023-2024 and the beginning of the school/academic year 2024-2025
Submitted by INS on 06/25/2025,The turnover of the trade with motor vehicles and motorcycles,April 2025
Submitted by INS on 06/25/2025,Turnover in trade and services provided to the population,April 2025
Submitted by INS on 06/26/2025,Turnover of market services rendered mainly to enterprises,April 2025
Submitted by INS on 06/26/2025,Wholesale turnover,April 2025
Submitted by INS on 06/27/2025,Purchasing power in Romania compared to EU Member States in 2024 - provisional data,2024
Submitted by INS on 06/27/2025,Trends in the evolution of economic activity,June - August 2025
Submitted by INS on 06/27/2025,Population connected to sewage and wastewater treatment systems in the year 2024,Year 2024
Submitted by INS on 06/30/2025,Construction permits released for buildings,May 2025
Submitted by INS on 06/30/2025,Activity of sanitary and healthcare network in 2024,Year 2024
Submitted by INS on 06/30/2025,Animal production obtained in 2024,Year 2024
Submitted by INS on 06/30/2025,Activity of cultural and art units in 2024,Year 2024
Submitted by INS on 06/30/2025,"Production of meat, milk and dairy products in the industrial units in 2024",Year 2024
Submitted by INS on 06/30/2025,"Poverty or social exclusion in 2024, the main indicators",Year 2024
Submitted by INS on 07/02/2025,Industrial production prices index (IPPI),May 2025
Submitted by INS on 07/02/2025,ILO Unemployment,May 2025
Submitted by INS on 07/04/2025,Tourism,May 2025
Submitted by INS on 07/07/2025,Turnover in retail trade,May 2025
Submitted by INS on 07/10/2025,Slaughtering of animals and poultry and meat production,May 2025
Submitted by INS on 07/10/2025,Vital statistics,May 2025
Submitted by INS on 07/10/2025,Romania's foreign trade (estimated data),May 2025
Submitted by INS on 07/10/2025,Gross domestic product in the first quarter 2025 (provisional data) (2),First quarter 2025
Submitted by INS on 07/11/2025,Monthly average earning,May 2025
Submitted by INS on 07/11/2025,Consumer price index (CPI),iunie 2025
Submitted by INS on 07/14/2025,Household income and expenditure,First quarter 2025
Submitted by INS on 07/15/2025,Industrial production indices (IPI),May 2025
Submitted by INS on 07/15/2025,Energy resources (provisional data),"January 1 - May 31, 2025"
Submitted by INS on 07/15/2025,Main indicators regarding the incomes and expenses of social protection in 2023,Year 2023
Submitted by INS on 07/17/2025,Value indices of industrial new orders,May 2025
Submitted by INS on 07/17/2025,Turnover index in industry,May 2025
Submitted by INS on 07/18/2025,Local public utilities,Year 2024
