Date,Event name,Period
Submitted by INS on 05/08/2025,Turnover in retail trade,March 2025
Submitted by INS on 05/12/2025,Romania's foreign trade (estimated data),March 2025
Submitted by INS on 05/13/2025,Consumer price index (CPI),aprilie 2025
Submitted by INS on 05/14/2025,Industrial production indices (IPI),March 2025
Submitted by INS on 05/15/2025,Monthly average earning,March 2025
Submitted by INS on 05/15/2025,Energy resources (provisional data),"January 1 - March 31, 2025"
Submitted by INS on 05/20/2025,Construction works,March 2025
Submitted by INS on 05/20/2025,Job vacancies,First quarter 2025
Submitted by INS on 05/22/2025,Value indices of industrial new orders,March 2025
Submitted by INS on 05/28/2025,Trends in the evolution of economic activity,May - July 2025
Submitted by INS on 05/30/2025,Construction permits released for buildings,April 2025
Submitted by INS on 06/03/2025,ILO Unemployment,April 2025
Submitted by INS on 06/03/2025,Industrial production prices index (IPPI),April 2025
Submitted by INS on 06/06/2025,Gross domestic product in the First quarter 2025 (provisional data) (1),First quarter 2025
Submitted by INS on 06/06/2025,Turnover in retail trade,April 2025
Submitted by INS on 06/10/2025,Household income and expenditure in year 2024,Year 2024
Submitted by INS on 06/10/2025,Romania's foreign trade (estimated data),April 2025
Submitted by INS on 06/12/2025,Consumer price index (CPI),mai 2025
Submitted by INS on 06/13/2025,Monthly average earning,April 2025
Submitted by INS on 06/13/2025,Industrial production indices (IPI),April 2025
Submitted by INS on 06/13/2025,Energy resources (provisional data),"January 1 - April 30, 2025"
Submitted by INS on 06/19/2025,Value indices of industrial new orders,April 2025
Submitted by INS on 06/19/2025,Construction works,April 2025
Submitted by INS on 06/27/2025,Trends in the evolution of economic activity,June - August 2025
Submitted by INS on 06/30/2025,Construction permits released for buildings,May 2025
Submitted by INS on 07/02/2025,Industrial production prices index (IPPI),May 2025
Submitted by INS on 07/02/2025,ILO Unemployment,May 2025
Submitted by INS on 07/07/2025,Turnover in retail trade,May 2025
Submitted by INS on 07/10/2025,Romania's foreign trade (estimated data),May 2025
Submitted by INS on 07/10/2025,Gross domestic product in the first quarter 2025 (provisional data) (2),First quarter 2025
Submitted by INS on 07/11/2025,Monthly average earning,May 2025
Submitted by INS on 07/11/2025,Consumer price index (CPI),iunie 2025
Submitted by INS on 07/14/2025,Household income and expenditure,First quarter 2025
Submitted by INS on 07/15/2025,Industrial production indices (IPI),May 2025
Submitted by INS on 07/15/2025,Energy resources (provisional data),"January 1 - May 31, 2025"
Submitted by INS on 07/17/2025,Value indices of industrial new orders,May 2025
Submitted by INS on 07/18/2025,Construction works,May 2025
Submitted by INS on 07/28/2025,Trends in the evolution of economic activity,July - September 2025
Submitted by INS on 07/31/2025,Construction permits released for buildings,June 2025
Submitted by INS on 07/31/2025,ILO Unemployment,June 2025
Submitted by INS on 08/04/2025,Industrial production prices index (IPPI),June 2025
Submitted by INS on 08/06/2025,Turnover in retail trade,June 2025
Submitted by INS on 08/11/2025,Romania's foreign trade (estimated data),June 2025
Submitted by INS on 08/12/2025,Consumer price index (CPI),iulie 2025
Submitted by INS on 08/12/2025,Monthly average earning,June 2025
Submitted by INS on 08/14/2025,Value indices of industrial new orders,June 2025
Submitted by INS on 08/14/2025,Industrial production indices (IPI),June 2025
Submitted by INS on 08/19/2025,Energy resources (provisional data),"January 1 - June 30, 2025"
Submitted by INS on 08/20/2025,Construction works,June 2025
Submitted by INS on 08/20/2025,Job vacancies,Second quarter 2025
Submitted by INS on 08/28/2025,Trends in the evolution of economic activity,August - October 2025
Submitted by INS on 08/29/2025,Construction permits released for buildings,July 2025
Submitted by INS on 09/01/2025,ILO Unemployment,July 2025
Submitted by INS on 09/02/2025,Industrial production prices index (IPPI),July 2025
Submitted by INS on 09/04/2025,Turnover in retail trade,July 2025
Submitted by INS on 09/05/2025,Gross domestic product in the second quarter 2024 (provisional data) (1),Second quarter 2025
Submitted by INS on 09/09/2025,Romania's foreign trade (estimated data),July 2025
Submitted by INS on 09/11/2025,Consumer price index (CPI),August 2025
Submitted by INS on 09/12/2025,Monthly average earning,iulie 2025
Submitted by INS on 09/15/2025,Energy resources (provisional data),"January 1 - July 31, 2025"
Submitted by INS on 09/15/2025,Industrial production indices (IPI),July 2025
Submitted by INS on 09/17/2025,Value indices of industrial new orders,July 2025
Submitted by INS on 09/18/2025,Construction works,July 2025
Submitted by INS on 09/29/2025,Trends in the evolution of economic activity,September - November 2025
Submitted by INS on 09/30/2025,Construction permits released for buildings,August 2025
Submitted by INS on 10/02/2025,ILO Unemployment,August 2025
Submitted by INS on 10/02/2025,Industrial production prices index (IPPI),August 2025
Submitted by INS on 10/06/2025,Turnover in retail trade,August 2025
Submitted by INS on 10/07/2025,Household income and expenditure,Second quarter 2025
Submitted by INS on 10/10/2025,Gross Domestic Product in 2024 (semifinale data),Year 2024
Submitted by INS on 10/10/2025,Gross domestic product in the second quarter 2025 (provisional data) (2),Second quarter 2025
Submitted by INS on 10/10/2025,Gross Domestic Product in 2023 (finale data),Year 2023
Submitted by INS on 10/10/2025,Romania's foreign trade (estimated data),August 2025
Submitted by INS on 10/13/2025,Monthly average earning,august 2025
Submitted by INS on 10/13/2025,Consumer price index (CPI),September 2025
Submitted by INS on 10/14/2025,Energy resources (provisional data),"January 1 - August 31, 2025"
Submitted by INS on 10/15/2025,Industrial production indices (IPI),August 2025
Submitted by INS on 10/20/2025,Construction works,August 2025
Submitted by INS on 10/23/2025,Value indices of industrial new orders,August 2025
Submitted by INS on 10/28/2025,Trends in the evolution of economic activity,October - December 2025
Submitted by INS on 10/30/2025,ILO Unemployment,September 2025
Submitted by INS on 10/31/2025,Construction permits released for buildings,September 2025
Submitted by INS on 11/03/2025 - 08,Energy resources and consumption in 2024,Year 2024
Submitted by INS on 11/04/2025 - 08,Industrial production prices index (IPPI),September 2025
Submitted by INS on 11/06/2025 - 08,Turnover in retail trade,September 2025
Submitted by INS on 11/10/2025,Romania's foreign trade (estimated data),September 2025
Submitted by INS on 11/12/2025,Consumer price index (CPI),October 2025
Submitted by INS on 11/12/2025,Monthly average earning,septembrie 2025
Submitted by INS on 11/13/2025,Industrial production indices (IPI),September 2025
Submitted by INS on 11/14/2025,Energy resources (provisional data),"January 1 - September 30, 2025"
Submitted by INS on 11/19/2025,Job vacancies,Third quarter 2025
Submitted by INS on 11/20/2025 - 08,Value indices of industrial new orders,September 2025
Submitted by INS on 11/20/2025,Construction works,September 2025
Submitted by INS on 11/28/2025,Trends in the evolution of economic activity,November 2025 - Janary 2026
Submitted by INS on 11/28/2025,Construction permits released for buildings,October 2025
Submitted by INS on 12/02/2025,ILO Unemployment,October 2025
Submitted by INS on 12/03/2025 - 08,Industrial production prices index (IPPI),October 2025
Submitted by INS on 12/05/2025 - 08,Turnover in retail trade,October 2025
Submitted by INS on 12/05/2025,Gross domestic product in the Third quarter 2025 (provisional data) (1),Third quarter 2024
Submitted by INS on 12/10/2025,Romania's foreign trade (estimated data),October 2025
Submitted by INS on 12/12/2025,Consumer price index (CPI),November 2025
Submitted by INS on 12/12/2025,Monthly average earning,octombrie 2025
Submitted by INS on 12/15/2025,Energy resources (provisional data),"January 1 - October 31, 2025"
Submitted by INS on 12/15/2025,Industrial production indices (IPI),October 2025
Submitted by INS on 12/17/2025 - 08,Value indices of industrial new orders,October 2025
Submitted by INS on 12/18/2025,Construction works,October 2025
Submitted by INS on 12/29/2025,Trends in the evolution of economic activity,December 2025 - February 2026
